company_name,ticker,corp_code,sector,subsector,market,revenue_latest,revenue_prev,revenue_cagr_3y,operating_income_latest,operating_margin_latest,total_assets_latest,total_liabilities_latest,total_equity_latest,debt_ratio_latest,disclosure_count_1y,growth_score,risk_score
오스코텍,039200,00263654,바이오,신약개발,KOSDAQ,34007602680.0,5062376493.0,1.591855519705586,-2733857885.0,-0.08038960907432008,170778209860.0,38418568371.0,132359641489.0,29.02589334543706,61,60,25
와이즈넛,096250,00351427,AI/SW,검색/AI,KOSDAQ,34920657325.0,35172218324.0,-0.007152264229758454,1702832524.0,0.048762900083811636,57963768348.0,6609646859.0,51354121489.0,12.870723259117147,38,10,10
원익IPS,240810,01135941,반도체,장비,KOSDAQ,748176487524.0,1011484981702.0,-0.13995275608412627,,,1124147065791.0,236686893210.0,887460172581.0,26.670142562188857,44,0,10
유일로보틱스,388720,01152586,로봇,산업용로봇,KOSDAQ,35168850105.0,38445045661.0,-0.043557438664704295,395024451.0,0.011232225387540859,117411457218.0,22383208789.0,95028248429.0,23.55426850335301,54,0,25
유진테크,084370,00531014,반도체,장비,KOSDAQ,338067812312.0,310632917779.0,0.043225450615928196,61177012897.0,0.18096077375310796,539499743575.0,103757408575.0,435742335000.0,23.811642854256977,100,60,40
이오테크닉스,039030,00246417,반도체,레이저/장비,KOSDAQ,320945496298.0,447157589742.0,-0.15280118506325746,31201085341.0,0.09721614947364642,653015311226.0,49983890382.0,603031420844.0,8.288770477671425,17,25,0
제넥신,095700,00545929,바이오,신약개발,KOSDAQ,2932735736.0,16139032166.0,-0.5737172861129578,-37245760360.0,-12.70000563051072,345041837007.0,83361162470.0,261680674537.0,31.85606373779553,25,0,10
주성엔지니어링,036930,00252135,반도체,장비,KOSDAQ,409393371588.0,437938720318.0,-0.03313969386718896,97196211588.0,0.2374152058470919,986824795276.0,420234495676.0,566590299600.0,74.16902406777456,42,40,10
차바이오텍,085660,00525679,바이오,헬스케어,KOSDAQ,1045049021124.0,844582867317.0,0.11236469820274708,-59684136456.0,-0.057111327076127844,2194378669342.0,1475529477270.0,718849192072.0,205.2627301446853,146,40,80
천보,278280,00897752,이차전지,전해질,KOSDAQ,144912632914.0,328858944972.0,-0.3361831165478485,-22751764756.0,-0.15700332192226668,1007851053797.0,592946027624.0,414905026173.0,142.91126648746925,30,0,30
코난테크놀로지,402030,00601988,AI/SW,AI플랫폼,KOSDAQ,26318506558.0,15388168002.0,0.3077874375174734,-14106433041.0,-0.5359891151085124,44386378693.0,24762292934.0,19624085759.0,126.18316714521856,84,60,45
코미코,183300,00997812,반도체,부품/세정,KOSDAQ,507138644286.0,288376003971.0,0.32612295563285865,112461653836.0,0.2217572159075644,800342522976.0,424624460497.0,375718062479.0,113.0167811723807,41,100,30
코스모신소재,005070,00129989,이차전지,양극재,KOSPI,569728589077.0,485605243552.0,0.08315927449660254,25002358115.0,0.04388468227565263,784541943950.0,289009302755.0,495532641195.0,58.3229597263342,42,30,10
테스,095610,00524421,반도체,장비,KOSDAQ,240077826420.0,357991682573.0,-0.18108362190044558,38473734786.0,0.16025526121972128,381186883677.0,50648891417.0,330537992260.0,15.323167866633547,60,40,25
티로보틱스,117730,00867098,로봇,물류/자동화,KOSDAQ,60705396702.0,56729389196.0,0.03445022160722777,-7001978684.0,-0.11534359487629067,106972896821.0,75532456040.0,31440440781.0,240.2398126862317,48,20,50
펩트론,087010,00415868,바이오,약물전달,KOSDAQ,3152181439.0,5813995537.0,-0.26367718606041624,-16527819080.0,-5.243295603327737,168892733798.0,17184168838.0,151708564960.0,11.327092074551517,28,0,10
플리토,300080,01237434,AI/SW,언어데이터,KOSDAQ,20300590454.0,13639437063.0,0.21998955319434366,-396344850.0,-0.019523808969896476,16537997958.0,5520382637.0,11017615321.0,50.105058818653234,44,60,10
피에스케이,319660,01365825,반도체,장비,KOSDAQ,398050977575.0,460909201007.0,-0.07068775749712897,83924423263.0,0.2108383799840992,569356264734.0,97639459052.0,471716805682.0,20.698745068205607,36,40,10
피엔티,137400,00612294,이차전지,장비,KOSDAQ,1035081261981.0,417814489256.0,0.5739664648801279,163228782523.0,0.15769658723277732,1620271365673.0,995710766322.0,624560599351.0,159.42580549536322,52,100,45
한글과컴퓨터,030520,00204262,AI/SW,SW/문서,KOSDAQ,304773304445.0,242008402693.0,0.12220768711858887,40422695177.0,0.1326320074214202,681939379443.0,196273107269.0,485666272174.0,40.4131640417231,60,65,25
한미반도체,042700,00161383,반도체,후공정,KOSPI,558917191547.0,327592058714.0,0.30619209591782814,255391604854.0,0.4569399702075971,710872366678.0,169984503289.0,540887863389.0,31.426939814094002,78,100,25
현대무벡스,319400,01358463,로봇,물류자동화,KOSDAQ,341383043004.0,210456108794.0,0.2736209800731415,24571079650.0,0.0719751029043118,298865266015.0,126722489340.0,172142776675.0,73.61475850900672,33,70,10
후성,093370,00595191,이차전지,전해질/소재,KOSPI,437795018982.0,610564329261.0,-0.1532217507736171,-9575604806.0,-0.02187234753896024,826277280544.0,493529728930.0,332747551614.0,148.31956735252362,25,0,30
휴림로봇,090710,00540429,로봇,산업용로봇,KOSDAQ,133097920524.0,55474362631.0,0.548957402735196,-4938399556.0,-0.03710350647521586,334935432412.0,122545868366.0,212389564046.0,57.698629834495364,34,60,10
휴젤,145020,00888347,바이오,의료미용,KOSDAQ,373046885998.0,281675135067.0,0.15082014062427018,166229170618.0,0.4455986012945601,939439325841.0,98627325098.0,840812000743.0,11.73000920667712,64,80,25
